,Method,RMSE,Miscalibration,Sharpness,NLL,Duration,Random Seed
0,Ensemble 20,0.39704123,0.29124579124579136,0.31895536,1.7466124753646317,0:01:19.498462,2022
0,Ensemble 100,0.3995488,0.31717171717171716,0.279593,1.9933827201209762,0:06:54.202688,2022
0,MCDropout 100,3.2928112,0.47542087542087547,1.5097985,3.8454236122548573,0:00:00.479278,2022
0,MCDropout 20,3.4753997,0.47104377104377104,1.3364614,4.438181497328813,0:00:00.479278,2022
0,MCDropout* 100,0.83750343,0.40067340067340085,0.48215267,3.0754825980808813,0:00:00.508928,2022
0,MCDropout* 20,0.8074685,0.3969696969696971,0.47064832,4.583264715172844,0:00:00.508928,2022
0,Bayes Backprop 20,0.17283683,0.07269041345128305,0.26787862,0.771270493448372,0:27:31.685150,2022
0,Bayes Backprop 100,1.3005291,0.4525252525252525,0.406914,4.15101259992858,2:29:02.973854,2022
